store_name,aliases,address,phone,days,open,close,notes,source_url
東湖店,台北東湖店;屈臣氏東湖店;東湖;東湖店門市;東湖店,台北市內湖區東湖路31號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
康樂店,台北康樂店;屈臣氏康樂店;康樂;康樂店門市;康樂店,台北市內湖區康樂街116-4號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
三總店,台北三總店;屈臣氏三總店;三總;三總店門市;三總店,台北市內湖區成功路二段325號B1,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
德明店,台北德明店;屈臣氏德明店;德明;德明店門市;德明店,台北市內湖區內湖路一段279號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
港墘店,台北港墘店;屈臣氏港墘店;港墘;港墘店門市;港墘店,台北市內湖區內湖路一段737巷37號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
木柵店,台北木柵店;屈臣氏木柵店;木柵;木柵店門市;木柵店,台北市文山區興隆路三段53號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
政大店,台北政大店;屈臣氏政大店;政大;政大店門市;政大店,台北市文山區指南路二段123號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
木柵三店,台北木柵三店;屈臣氏木柵三店;木柵三;木柵三店門市;木柵三店,台北市文山區木柵路三段59號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
景美二店,台北景美二店;屈臣氏景美二店;景美二;景美二店門市;景美二店,台北市文山區景興路195號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
木新店,台北木新店;屈臣氏木新店;木新;木新店門市;木新店,台北市文山區木新路三段119號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
世新店,台北世新店;屈臣氏世新店;世新;世新店門市;世新店,台北市文山區木柵路一段167號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
石牌店,台北石牌店;屈臣氏石牌店;石牌;石牌店門市;石牌店,台北市北投區石牌路二段76號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
北投店,台北北投店;屈臣氏北投店;北投;北投店門市;北投店,台北市北投區光明路223號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
磺港店,台北磺港店;屈臣氏磺港店;磺港;磺港店門市;磺港店,台北市北投區磺港路8號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
知行店,台北知行店;屈臣氏知行店;知行;知行店門市;知行店,台北市北投區知行路222號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
